,0,1,2,3,4,5,6,7,8,9,10,11,12,13
A,0.0,0.0,0.0,0.0,0.0,0.0,0.33333333333333326,0.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0
B,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C,0.04999999999999993,0.05,0.053846153846153766,0.0,0.0,0.7961538461538462,0.050000000000000044,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D,0.0,0.0,0.0,0.0,0.0,0.0,0.33333333333333337,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0
E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
F,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
I,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.5055555555555552,0.44444444444444475
K,0.0,0.0,5.551115123125714e-18,0.0,0.0,0.0,0.04999999999999927,0.0,0.9500000000000007,0.0,0.0,0.0,0.0,0.0
